Name	..NM89_RPMI_salmon.quant.sf	..NM90_RPMI_HS5_salmon.quant.sf	..NM91_MM1S_salmon.quant.sf	..NM92_MM1S_HS5_salmon.quant.sf	..NM95_KMS11_salmon.quant.sf	..NM96_KMS11_HS5_salmon.quant.sf
LINC00837	14.0311	5.0692900000000005	5.01032	13.030339999999999	3.02398	2.0222900000000004
LINC00839	43.9195	159.30532	6.306	61.0981	4.0560599999999996	14.3189
LINC00840	36.2646	25.0074	6.01	21.6488	5.01	4.01
LINC00843	25.99672	28.0979	60.7122	69.5566	8.226560000000001	14.4055
LINC00847	2339.1532	1918.6461	955.3055	1728.3574	206.7617	320.2231
LINC00852	112.484	74.2652	85.0692	108.023	23.0827	23.7639
LINC00853	68.2631	216.80900000000003	8.37744	13.8833	8.11111	10.0145
LINC00854	221.23154	314.1486	50.80425	77.7122	17.50432	50.03783
LINC00856	45.020590000000006	34.94643	14.75026	44.17207	4.02	13.26875
LINC00857	18.3571	94.0523	13.7812	36.8662	4.3945	4.86702
LINC00861	56.9681	65.78355	88.4771	67.9878	29.456	34.0627
LINC00862	34.632290000000005	30.752940000000002	10.088	8.02774	4.06532	3.0817900000000003
LINC00863	550.894	765.681	235.37400000000002	330.77	224.386	219.59900000000002
LINC00864	19.1942	15.1225	22.3169	25.8233	2.37052	2.74471
LINC00868	77.1604	110.148	41.8454	45.9755	2.1173900000000003	3.51054
LINC00869	5253.0429	2699.7783	640.81132	266.05897999999996	504.21402	433.50203
LINC00877	11.0412	28.039959999999997	44.01995	22.020210000000002	1.01	9.02
LINC00880	121.64299999999999	161.92	282.128	518.195	50.9931	114.04899999999999
LINC00881	90.9229	182.07196000000002	31.10612	67.09454000000001	8.86058	9.47969
LINC00882	104.3904	87.23998	50.0847	42.6055	3.0476799999999997	29.816679999999998
LINC00884	293.1707	438.63599999999997	56.772659999999995	111.48011000000001	21.62204	29.947909999999997
LINC00886	23.190929999999998	30.8651	26.8939	21.17265	30.35502	39.8609
LINC00887	61.06221	128.1573	43.59937	85.92174	12.62353	16.28272
LINC00888	2515.95802	1358.11382	2380.51987	3054.17368	468.30939000000006	472.4066
LINC00891	1031.46	798.189	667.14	848.24	36.5791	46.2507
LINC00893	140.56193000000002	122.77954	45.527359999999994	68.73510999999999	16.36618	7.38553
LINC00894	170.70015	147.26851000000002	96.77494	72.34594	10.21317	24.11576
LINC00895	21.143	12.3705	2.45543	6.5054300000000005	1.2231299999999998	1.95102
LINC00899	83.227	79.01599	46.4677	71.194	9.6389	15.2306
LINC00900	25.73922	21.26707	16.7297	18.9697	3.1144700000000003	6.4742
LINC00901	14.01	11.01	14.01	8.01	7.4875300000000005	1.01
LINC00907	47.16148	46.17582	36.69423	26.68042	17.14745	13.779770000000001
LINC00908	45.87945	58.5062	3.6930699999999996	22.54598	7.5187	12.830639999999999
LINC00909	2942.04429	1522.3407	1256.147	1605.4821	777.8225	753.2733
LINC00910	603.92131	678.10343	93.34272	147.56497	65.22402	111.73461999999999
LINC00920	2198.13	1279.61	716.319	1130.83	71.1804	92.01
LINC00921	375.3254	135.791	17.862000000000002	27.7516	66.3513	44.253409999999995
LINC00923	372.81497	598.9006	50.177859999999995	78.7134	27.424740000000003	38.1261
